time,F7,AF7,AF8,F8,MARKER
356,-0.009824826719975366,-7423.573198540162,-38358.728512679176,-25478.37867914367,
358,-0.010710572541259377,-7197.611403035826,-36786.24724386852,-24130.895621642274,
360,-0.011490524502786594,-6935.14243885995,-34734.189282098916,-22073.04568729264,
362,-0.012144435987025777,-6635.743166984103,-32682.57028551443,-19946.294762518875,
364,-0.012692438367320978,-6313.023125977701,-31102.18422745037,-18408.45377745102,
366,-0.013187330283935499,-5989.5590564771765,-30275.99050567782,-17883.934150236877,
368,-0.013694418553496878,-5688.424727056547,-30193.74401554206,-18405.15246466303,
370,-0.014266600359769174,-5424.519784047825,-30559.20587348706,-19604.39811795083,
372,-0.014924190098302734,-5198.982009919788,-30906.04039678382,-20857.719334484293,
374,-0.015647181352721567,-4998.803508150926,-30777.195412870835,-21524.62217899826,
376,-0.016382888027754065,-4801.8023267845665,-29898.879141929912,-21191.562352467376,
378,-0.017066041386245154,-4585.0721377438385,-28283.01907966471,-19826.7233534529,
380,-0.01764367133384865,-4333.712752182769,-26219.986694343865,-17788.235449431933,
382,-0.0180952819869366,-4046.534571987707,-24165.51703973565,-15684.261496438621,
384,-0.01844063482450849,-3736.5734561722775,-22565.956987348392,-14139.651185656303,
386,-0.018732186190027627,-3426.2168197514347,-21688.96169806076,-13558.764449596452,
388,-0.019035080563594348,-3138.7833103772896,-21523.963785859072,-13974.557014418448,
390,-0.019402341963870615,-2889.743392301291,-21789.504204352765,-15040.288944457738,
392,-0.019854725872205544,-2680.906273294719,-22043.465577743926,-16165.444852683897,
394,-0.020372902984295064,-2499.7766347924453,-21853.155977633473,-16742.677619730253,
396,-0.02090493253639618,-2324.3270249930456,-20959.905924210874,-16378.613300171919,
398,-0.021386149531032215,-2131.3800542569506,-19375.656345390318,-15040.85847909713,
400,-0.021763863724617277,-1905.4262843017616,-17375.580043000755,-13066.348934940808,
402,-0.022017449259053825,-1644.5377879176656,-15390.721625693282,-11029.440212600175,
404,-0.022166180275385767,-1361.1370497314333,-13842.615005794949,-9521.406960839067,
406,-0.022261854816662176,-1077.3297049650855,-12983.42006134527,-8926.05870986543,
408,-0.022369053196214975,-816.5691075366431,-12802.288492047846,-9276.67836026858,
410,-0.022540582211363423,-594.8103450293212,-13032.781533881,-10247.631350474605,
412,-0.022797471815595004,-414.5044004872877,-13257.33334463741,-11282.25148679821,
